indonesian	russian	category	difficulty	part_of_speech	english_gloss
kasih	люблю	phrases	1	other	love
asik	классные	adjectives	1	adj	cool
diskon	скидка	verbs	1	verb	discount
kenyang	полное	phrases	1	other	full
imut	милые	phrases	1	other	cute
harapan	надежды	phrases	1	other	hope
becanda	шутишь	phrases	1	other	Kidding
kehidupan	жизнь	phrases	1	other	life
cintanya	люблю	phrases	1	other	love
jago	чемпион	phrases	1	other	champion
mempercayaimu	доверие	verbs	1	verb	trust
bercanda	шутка	verbs	1	verb	joke
berpacaran	свидание	verbs	1	verb	date
peluang	шанс	phrases	1	other	chance
kekayaan	богатство	phrases	1	other	wealth
menyukai	нравиться	verbs	1	verb	like
amin	аминь	phrases	1	other	amen
rileks	расслабиться	phrases	1	other	relax
iman	вера	phrases	1	other	faith
canda	шутка	phrases	1	other	joke
benar	правда	phrases	1	other	true
kemajuan	успехи	phrases	1	other	progress
pengantin	невеста	phrases	1	other	bride
berkencan	свидание	verbs	1	verb	date
cerdik	умная	phrases	1	other	clever
mendukung	поддерживаю	verbs	1	verb	support
bernyanyi	петь	verbs	1	verb	sing
mempercayainya	верить	verbs	1	verb	believe
berjumpa	удовлетворения	verbs	1	verb	meet
seindah	прекрасный	adjectives	1	adj	beautiful
orangtua	родители	phrases	1	other	parents
piala	кубок	phrases	1	other	cup
fantasi	фантастика	phrases	1	other	fantasy
cintailah	люблю	phrases	1	other	love
kesukaanku	любимый	phrases	1	other	favorite
hidup	жизнь	phrases	1	other	life
miliar	миллиардов	phrases	1	other	billion
hadiahnya	приз	phrases	1	other	prize
mempercayai	доверие	verbs	1	verb	trust
keluargaku	семья	family	1	noun	family
kehormatan	честь	phrases	1	other	honor
teman	друг	phrases	1	other	friend
cahaya	свет	phrases	1	other	light
memberkati	благослови	verbs	1	verb	bless
ayah	отца	family	1	noun	father
bergurau	шутка	verbs	1	verb	joke
pangeran	принц	phrases	1	other	prince
bayi	ребенок	phrases	1	other	baby
nyenyak	звук	phrases	1	other	sound
bakat	талант	phrases	1	other	talent
musik	музыка	phrases	1	other	music
kekuatan	прочности	phrases	1	other	strength
berdansa	танцевать	verbs	1	verb	dance
pemandangan	взгляд	phrases	1	other	view
menghormati	уважение	verbs	1	verb	respect
menyelamatkannya	спасти	verbs	1	verb	save
meningkat	повышения	verbs	1	verb	increase
beres	порядке	verbs	1	verb	OK
menyelamatkanku	спасти	verbs	1	verb	save
baru	новый	adjectives	1	adj	new
yesus	иисус	phrases	1	other	jesus
keselamatan	безопасность	phrases	1	other	safety
perkasa	сильный	phrases	1	other	strong
menarik	красивые	verbs	1	verb	interesting
bintang	звезда	phrases	1	other	star
permainan	игры	phrases	1	other	game
menangkan	победить	verbs	1	verb	win
tangguh	сильный	phrases	1	other	strong
makanan	еды	food	1	noun	food
makasih	благодарен	greetings	1	phrase	thanks
mudah	легко	adjectives	1	adj	easy
kawan	друг	phrases	1	other	friend
bunga	интерес	phrases	1	other	interest
rekor	рекорд	phrases	1	other	record
mengasihi	люблю	verbs	1	verb	love
orangtuaku	родители	phrases	1	other	parents
laba	прибыль	phrases	1	other	profit
terang	свет	verbs	1	verb	light
pantai	пляже	places	1	noun	beach
membantuku	помогать	verbs	1	verb	help
kesempatan	возможность	phrases	1	other	opportunity
membebaskan	свободной	verbs	1	verb	free
jadian	придумал	phrases	1	other	invented
langsing	похудеть	phrases	1	other	slim
betul	исправить	phrases	1	other	correct
lelucon	шутка	phrases	1	other	joke
saudaraku	брат	family	1	noun	brother
pestanya	вечеринка	phrases	1	other	party
papa	отца	family	1	noun	father
pengetahuan	знания	phrases	1	other	knowledge
cocok	матч	phrases	1	other	match
menghargai	ценю	verbs	1	verb	appreciate
manfaat	пользу	phrases	1	other	benefit
parfum	духи	phrases	1	other	perfume
beristirahat	отдыхать	verbs	1	verb	rest
diselamatkan	спасли	verbs	1	verb	saved
dansa	танцевать	phrases	1	other	dance
kue	торт	phrases	1	other	cake
duit	денег	phrases	1	other	money
percaya	верить	phrases	1	other	believe
gadis	девочка	phrases	1	other	girl
enaknya	вкусно	phrases	1	other	delicious
menyelamatkanmu	спасти	verbs	1	verb	save
bermain	играть	verbs	1	verb	play
kerjasama	сотрудничество	phrases	1	other	cooperation
terbesar	самая	verbs	1	verb	most
bekerjasama	сотрудничество	phrases	1	other	cooperation
teman-teman	друзья	phrases	1	other	friends
sabtu	суббота	phrases	1	other	Saturday
istirahat	перерыв	phrases	1	other	break
sukai	нравиться	phrases	1	other	like
kado	подарок	phrases	1	other	gift
adem	классные	adjectives	1	adj	cool
tumbuh	расти	phrases	1	other	grow
ortu	родители	phrases	1	other	parents
baikan	добре	phrases	1	other	goodness
diizinkan	позволил	verbs	1	verb	allowed
ide	идея	phrases	1	other	idea
menghasilkan	произвести	verbs	1	verb	produce
ibumu	матерью	family	1	noun	mother
istri	женой	family	1	noun	wife
natalan	рождества	phrases	1	other	Christmas
trims	благодарен	greetings	1	phrase	thanks
jutaan	миллионы	phrases	1	other	millions
menemukannya	нашёл	verbs	1	verb	found
agung	отличная	phrases	1	other	great
melindungi	защитить	verbs	1	verb	protect
yakin	уверена	phrases	1	other	sure
menyanyi	петь	verbs	1	verb	sing
temen	друг	phrases	1	other	friend
potensi	потенциал	phrases	1	other	potential
memaafkan	простить	verbs	1	verb	forgive
muda	молодой	phrases	1	other	young
gairah	страсть	phrases	1	other	passion
mawar	роза	phrases	1	other	rose
peduli	заботиться	phrases	1	other	care
oke	окей	phrases	1	other	okay
oksigen	кислорода	phrases	1	other	oxygen
eropa	европа	phrases	1	other	europe
perkembangan	развития	phrases	1	other	development
hargai	ценю	phrases	1	other	appreciate
menyanyikan	петь	verbs	1	verb	sing
bersedia	готово	verbs	1	verb	ready
kualitas	качество	phrases	1	other	quality
kekuatanmu	прочности	phrases	1	other	strength
gampang	легко	adjectives	1	adj	easy
natal	рождества	phrases	1	other	Christmas
keadilan	справедливости	phrases	1	other	justice
pertunjukan	шоу	phrases	1	other	show
berdua	оба	verbs	1	verb	both
pengertian	понимание	phrases	1	other	understanding
paham	понимают	phrases	1	other	understand
jelas	ясно	phrases	1	other	clear
uang	денег	phrases	1	other	money
sepakat	согласился	phrases	1	other	agreed
hati	сердцем	phrases	1	other	heart
internasional	международный	phrases	1	other	international
mengajakku	пригласили	verbs	1	verb	invited
bermimpi	мечта	verbs	1	verb	dream
bisa	удается	phrases	1	other	can
melindungimu	защитить	verbs	1	verb	protect
sejuta	миллион	phrases	1	other	million
sejati	правда	phrases	1	other	true
sobat	друг	phrases	1	other	friend
tarian	танцевать	phrases	1	other	dance
perempuanku	сестра	family	1	noun	sister
komputer	компьютер	phrases	1	other	computer
menari	танцевать	verbs	1	verb	dance
pemimpin	лидер	phrases	1	other	leader
kesehatan	здоровье	phrases	1	other	health
aktif	активных	phrases	1	other	active
bantuan	помогать	verbs	1	verb	help
mengampuni	простить	verbs	1	verb	forgive
tenang	спокойствие	phrases	1	other	calm
berenang	плавать	verbs	1	verb	swim
terlahir	родился	verbs	1	verb	born
rumah	родной	places	1	noun	home
cincin	кольцо	phrases	1	other	ring
karya	сработает	verbs	1	verb	work
energi	энергии	phrases	1	other	energy
direktur	режиссер	verbs	1	verb	director
diperbolehkan	позволил	verbs	1	verb	allowed
menenangkan	спокойствие	verbs	1	verb	calm
bersulang	тост	verbs	1	verb	toast
kebenarannya	истины	phrases	1	other	truth
keluargamu	семья	family	1	noun	family
ratu	королева	phrases	1	other	queen
doakan	молиться	phrases	1	other	pray
mencapai	добиться	verbs	1	verb	achieve
mengerti	понимают	verbs	1	verb	understand
putri	дочка	family	1	noun	daughter
jumpa	удовлетворения	phrases	1	other	meet
membantumu	помогать	verbs	1	verb	help
orangtuamu	родители	phrases	1	other	parents
berusaha	постараюсь	verbs	1	verb	try
pasangannya	партнер	phrases	1	other	partner
kenaikan	повышения	phrases	1	other	increase
dilahirkan	родился	verbs	1	verb	born
perempuan	девушку	phrases	1	other	woman
menolongnya	помогать	verbs	1	verb	help
berkomunikasi	общаться	verbs	1	verb	communicate
menemuimu	позаботиться	verbs	1	verb	see
berharap	надежды	verbs	1	verb	hope
teknologi	технологии	phrases	1	other	technology
isteri	женой	family	1	noun	wife
juta	миллион	phrases	1	other	million
tepat	правильно	phrases	1	other	right
hidangan	блюдо	phrases	1	other	dish
susu	молоко	food	1	noun	milk
asli	оригинал	phrases	1	other	original
ilmu	наука	phrases	1	other	science
melindunginya	защитить	verbs	1	verb	protect
ayu	прекрасный	adjectives	1	adj	beautiful
tunai	денежных	phrases	1	other	cash
mimpiku	мечта	phrases	1	other	dream
menginginkanmu	хочет	verbs	1	verb	wants
terbanyak	самая	verbs	1	verb	most
matahari	солнышко	phrases	1	other	sun
puncak	лучших	phrases	1	other	top
tari	танцевать	phrases	1	other	dance
kemanusiaan	человечество	phrases	1	other	humanity
pertolongan	помогать	verbs	1	verb	help
ringan	свет	phrases	1	other	light
makan	кушайте	verbs	1	verb	eat
penampilan	появление	phrases	1	other	appearance
pemulihan	восстановление	phrases	1	other	recovery
kelar	закончил	phrases	1	other	finished
bangkit	подняться	phrases	1	other	rise
hamil	беременна	phrases	1	other	pregnant
universitas	университет	phrases	1	other	university
sarapan	завтрак	phrases	1	other	breakfast
kakek	дедушка	phrases	1	other	grandfather
kudus	святая	phrases	1	other	holy
membantu	помогать	verbs	1	verb	help
raja	король	phrases	1	other	king
ketemuan	удовлетворения	phrases	1	other	meet
banyak	множество	phrases	1	other	many
keinginan	желание	phrases	1	other	desire
memasak	готовить	verbs	1	verb	cook
maju	передовых	phrases	1	other	advanced
bertemu	удовлетворения	verbs	1	verb	meet
terbit	подняться	verbs	1	verb	rise
kristus	христа	phrases	1	other	Christ
wanita	девушку	phrases	1	other	woman
memberi	дарить	verbs	1	verb	give
kejuaraan	чемпионат	phrases	1	other	championship
alam	природа	phrases	1	other	nature
minat	интерес	phrases	1	other	interest
anak-anak	дети	phrases	1	other	children
nonton	смотрим	phrases	1	other	watch
sirkus	цирк	phrases	1	other	circus
pendidikan	образование	phrases	1	other	education
lagu	песня	phrases	1	other	song
seni	искусство	phrases	1	other	art
ayo	заходи	phrases	1	other	come on
menemukan	найдём	verbs	1	verb	find
menghemat	спасти	verbs	1	verb	save
keseimbangan	равновесия	phrases	1	other	balance
taman	парк	phrases	1	other	park
mengundang	пригласить	verbs	1	verb	invite
dewasa	взрослый	phrases	1	other	adult
halo	здравствуй	greetings	1	phrase	hello
gelar	звание	phrases	1	other	title
dukung	поддерживаю	phrases	1	other	support
menyambut	пожаловать	greetings	1	phrase	welcome
kembang	цветок	phrases	1	other	flower
melahirkan	медведь	verbs	1	verb	bear
bersaudara	братья	verbs	1	verb	brothers
kesepakatan	договорились	phrases	1	other	deal
lukisan	живописи	phrases	1	other	painting
mengajariku	научил	verbs	1	verb	taught
mengijinkan	позволяют	verbs	1	verb	allow
pagi	утро	time	1	noun	morning
percayai	доверие	phrases	1	other	trust
terbuka	открыто	verbs	1	verb	open
raih	достигается	phrases	1	other	achieved
puteri	дочка	family	1	noun	daughter
terbang	летать	verbs	1	verb	fly
boleh	май	phrases	1	other	may
anak	дитя	family	1	noun	child
mendapat	имеем	verbs	1	verb	have
seniman	художник	phrases	1	other	artist
hatimu	сердцем	phrases	1	other	heart
hai	привет	greetings	1	phrase	hi
istirahatlah	отдыхать	phrases	1	other	rest
putrinya	дочка	family	1	noun	daughter
bernapas	дышит	verbs	1	verb	breathing
kehidupanku	жизнь	phrases	1	other	life
mengajakmu	принимают	verbs	1	verb	take
baiklah	порядке	phrases	1	other	OK
putrimu	дочка	family	1	noun	daughter
mendengarkanku	слушать	verbs	1	verb	listen
mimpi	мечта	phrases	1	other	dream
meningkatkan	повышения	verbs	1	verb	increase
membangun	построить	verbs	1	verb	build
kebun	сад	phrases	1	other	garden
mampu	способен	phrases	1	other	capable
cewek	девочка	phrases	1	other	girl
salju	снег	phrases	1	other	snow
bantuanmu	помогать	verbs	1	verb	help
siap	готово	phrases	1	other	ready
ditambah	плюс	verbs	1	verb	plus
tinggi	высокая	phrases	1	other	high
saudara	брат	family	1	noun	brother
keluarganya	семья	family	1	noun	family
spesialis	специалист	phrases	1	other	specialist
bantu	помогать	verbs	1	verb	help
mandi	ванну	phrases	1	other	bath
besar	большой	phrases	1	other	large
emak	ма	phrases	1	other	Ma
main	играть	verbs	1	verb	play
sanggup	умеют	phrases	1	other	able
surya	солнышко	phrases	1	other	sun
berbelanja	магазина	places	1	noun	shop
putih	белого	phrases	1	other	white
membeli	купить	verbs	1	verb	buy
sejujurnya	честно	phrases	1	other	honestly
apel	яблоко	phrases	1	other	apple
memahami	понимают	verbs	1	verb	understand
konser	концерт	phrases	1	other	concert
modal	столицы	phrases	1	other	capital
cewe	девочка	phrases	1	other	girl
bapak	отца	family	1	noun	father
kunjungan	навестить	phrases	1	other	visit
langit	небо	phrases	1	other	sky
menjanjikan	обещаю	verbs	1	verb	promise
bernafas	дышать	verbs	1	verb	breathe
anggur	вино	phrases	1	other	wine
wajahmu	лицо	phrases	1	other	face
membantunya	помогать	verbs	1	verb	help
jumat	пятница	phrases	1	other	Friday
menerima	получать	verbs	1	verb	receive
pengalaman	опыт	phrases	1	other	experience
bertambah	повышения	verbs	1	verb	increase
perbaikan	совершенствование	phrases	1	other	improvement
ngopi	кофе	food	1	noun	coffee
utama	главной	phrases	1	other	main
kakakmu	брат	family	1	noun	brother
memperoleh	получим	verbs	1	verb	obtain
guru	учитель	phrases	1	other	teacher
bayinya	ребенок	phrases	1	other	baby
lahir	родился	phrases	1	other	born
italia	италии	phrases	1	other	Italy
dekat	близкие	verbs	1	verb	close
membayarku	платят	verbs	1	verb	pay
restoran	ресторан	places	1	noun	restaurant
menghubungimu	позвони	verbs	1	verb	call
memperbaikinya	починить	verbs	1	verb	fix
mengajarkan	научить	verbs	1	verb	teach
penyanyi	певица	phrases	1	other	singer
penting	важный	phrases	1	other	important
